"RunNumber","ExitCode","OutputPath","ConfigurationSHA256","SourceConfigurationSHA256","Status"
"1","0","C:\Users\18177\morning-star\engineering\reports\batch-3\B3-PASS-04\B3_PASS04_CONFIG_RUN_1.json","8D95418C7D56FC6DD5DB5E13D820C5BFA520575967C85F0E258327796C042236","810E2514A8C81CA6070E28F14865559A282A1433C5CA3E31FA98D8D72A169D5C","PASS"
"2","0","C:\Users\18177\morning-star\engineering\reports\batch-3\B3-PASS-04\B3_PASS04_CONFIG_RUN_2.json","8D95418C7D56FC6DD5DB5E13D820C5BFA520575967C85F0E258327796C042236","810E2514A8C81CA6070E28F14865559A282A1433C5CA3E31FA98D8D72A169D5C","PASS"
"3","0","C:\Users\18177\morning-star\engineering\reports\batch-3\B3-PASS-04\B3_PASS04_CONFIG_RUN_3.json","8D95418C7D56FC6DD5DB5E13D820C5BFA520575967C85F0E258327796C042236","810E2514A8C81CA6070E28F14865559A282A1433C5CA3E31FA98D8D72A169D5C","PASS"
"4","0","C:\Users\18177\morning-star\engineering\reports\batch-3\B3-PASS-04\B3_PASS04_CONFIG_RUN_4.json","8D95418C7D56FC6DD5DB5E13D820C5BFA520575967C85F0E258327796C042236","810E2514A8C81CA6070E28F14865559A282A1433C5CA3E31FA98D8D72A169D5C","PASS"
"5","0","C:\Users\18177\morning-star\engineering\reports\batch-3\B3-PASS-04\B3_PASS04_CONFIG_RUN_5.json","8D95418C7D56FC6DD5DB5E13D820C5BFA520575967C85F0E258327796C042236","810E2514A8C81CA6070E28F14865559A282A1433C5CA3E31FA98D8D72A169D5C","PASS"
